gp,pair,driver,stint,compound,n_laps,deg_ms_per_lap,r2,base_pace_s
Chinese Grand Prix,NOR_vs_PIA,NOR,1,MEDIUM,13,63.69,0.701,97.579
Chinese Grand Prix,NOR_vs_PIA,NOR,2,HARD,38,-47.59,0.645,97.635
Chinese Grand Prix,NOR_vs_PIA,PIA,1,MEDIUM,13,20.19,0.096,97.819
Chinese Grand Prix,NOR_vs_PIA,PIA,2,HARD,41,-40.55,0.697,97.511
Chinese Grand Prix,NOR_vs_LEC,NOR,1,MEDIUM,13,63.69,0.701,97.579
Chinese Grand Prix,NOR_vs_LEC,NOR,2,HARD,38,-47.59,0.645,97.635
Chinese Grand Prix,NOR_vs_LEC,LEC,1,MEDIUM,13,38.63,0.293,98.02
Chinese Grand Prix,NOR_vs_LEC,LEC,2,HARD,40,-16.85,0.167,97.367
Japanese Grand Prix,NOR_vs_PIA,NOR,1,MEDIUM,19,-45.66,0.873,94.063
Japanese Grand Prix,NOR_vs_PIA,NOR,2,HARD,31,-43.26,0.847,92.515
Japanese Grand Prix,NOR_vs_PIA,PIA,1,MEDIUM,18,-32.85,0.429,94.03
Japanese Grand Prix,NOR_vs_PIA,PIA,2,HARD,32,-52.42,0.688,92.727
Japanese Grand Prix,NOR_vs_LEC,NOR,1,MEDIUM,19,-45.66,0.873,94.063
Japanese Grand Prix,NOR_vs_LEC,NOR,2,HARD,31,-43.26,0.847,92.515
Japanese Grand Prix,NOR_vs_LEC,LEC,1,MEDIUM,19,-28.11,0.611,94.091
Japanese Grand Prix,NOR_vs_LEC,LEC,2,HARD,31,-38.88,0.536,92.752
Bahrain Grand Prix,NOR_vs_PIA,NOR,1,SOFT,9,-27.72,0.011,98.966
Bahrain Grand Prix,NOR_vs_PIA,NOR,2,MEDIUM,20,10.16,0.02,97.891
Bahrain Grand Prix,NOR_vs_PIA,NOR,3,MEDIUM,22,56.34,0.272,96.0
Bahrain Grand Prix,NOR_vs_PIA,PIA,1,SOFT,13,73.95,0.493,97.698
Bahrain Grand Prix,NOR_vs_PIA,PIA,2,MEDIUM,16,-11.58,0.063,97.786
Bahrain Grand Prix,NOR_vs_PIA,PIA,3,MEDIUM,22,28.98,0.284,95.725
Bahrain Grand Prix,NOR_vs_LEC,NOR,1,SOFT,9,-27.72,0.011,98.966
Bahrain Grand Prix,NOR_vs_LEC,NOR,2,MEDIUM,20,10.16,0.02,97.891
Bahrain Grand Prix,NOR_vs_LEC,NOR,3,MEDIUM,22,56.34,0.272,96.0
Bahrain Grand Prix,NOR_vs_LEC,LEC,1,MEDIUM,16,-12.63,0.007,99.036
Bahrain Grand Prix,NOR_vs_LEC,LEC,2,MEDIUM,13,70.88,0.572,97.044
Bahrain Grand Prix,NOR_vs_LEC,LEC,3,HARD,22,98.95,0.837,95.541
Saudi Arabian Grand Prix,NOR_vs_PIA,NOR,1,HARD,30,-86.74,0.7,95.667
Saudi Arabian Grand Prix,NOR_vs_PIA,NOR,2,MEDIUM,15,1.52,0.001,92.147
Saudi Arabian Grand Prix,NOR_vs_PIA,PIA,1,MEDIUM,15,35.42,0.301,93.556
Saudi Arabian Grand Prix,NOR_vs_PIA,PIA,2,HARD,30,-21.13,0.268,93.224
Saudi Arabian Grand Prix,NOR_vs_LEC,NOR,1,HARD,30,-86.74,0.7,95.667
Saudi Arabian Grand Prix,NOR_vs_LEC,NOR,2,MEDIUM,15,1.52,0.001,92.147
Saudi Arabian Grand Prix,NOR_vs_LEC,LEC,1,MEDIUM,25,-53.55,0.568,95.033
Saudi Arabian Grand Prix,NOR_vs_LEC,LEC,2,HARD,20,-3.38,0.007,92.511
Miami Grand Prix,NOR_vs_PIA,NOR,1,MEDIUM,6,-177.6,0.656,91.893
Miami Grand Prix,NOR_vs_PIA,NOR,2,HARD,24,-14.99,0.012,90.586
Miami Grand Prix,NOR_vs_PIA,PIA,1,MEDIUM,6,-214.76,0.748,91.966
Miami Grand Prix,NOR_vs_PIA,PIA,2,HARD,24,-61.41,0.074,91.467
Miami Grand Prix,NOR_vs_LEC,NOR,1,MEDIUM,6,-177.6,0.656,91.893
Miami Grand Prix,NOR_vs_LEC,NOR,2,HARD,24,-14.99,0.012,90.586
Miami Grand Prix,NOR_vs_LEC,LEC,1,MEDIUM,6,-7.37,0.001,92.549
Miami Grand Prix,NOR_vs_LEC,LEC,2,HARD,24,-20.45,0.142,91.237
Emilia Romagna Grand Prix,NOR_vs_PIA,NOR,1,MEDIUM,27,-62.15,0.242,82.535
Emilia Romagna Grand Prix,NOR_vs_PIA,NOR,2,HARD,15,-248.69,0.192,82.93
