gp,pair,driver,strategy,total_time_s,is_optimal
Chinese Grand Prix,NOR_vs_PIA,NOR,1-stop early,5541.26,False
Chinese Grand Prix,NOR_vs_PIA,NOR,1-stop mid,5538.14,True
Chinese Grand Prix,NOR_vs_PIA,NOR,1-stop late,5540.43,False
Chinese Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5543.58,False
Chinese Grand Prix,NOR_vs_PIA,NOR,2-stop early,5544.54,False
Chinese Grand Prix,NOR_vs_PIA,PIA,1-stop early,5517.25,False
Chinese Grand Prix,NOR_vs_PIA,PIA,1-stop mid,5516.26,True
Chinese Grand Prix,NOR_vs_PIA,PIA,1-stop late,5516.99,False
Chinese Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5533.01,False
Chinese Grand Prix,NOR_vs_PIA,PIA,2-stop early,5533.31,False
Chinese Grand Prix,NOR_vs_LEC,NOR,1-stop early,5541.26,False
Chinese Grand Prix,NOR_vs_LEC,NOR,1-stop mid,5538.14,True
Chinese Grand Prix,NOR_vs_LEC,NOR,1-stop late,5540.43,False
Chinese Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5543.58,False
Chinese Grand Prix,NOR_vs_LEC,NOR,2-stop early,5544.54,False
Chinese Grand Prix,NOR_vs_LEC,LEC,1-stop early,5544.38,False
Chinese Grand Prix,NOR_vs_LEC,LEC,1-stop mid,5542.49,True
Chinese Grand Prix,NOR_vs_LEC,LEC,1-stop late,5543.88,False
Chinese Grand Prix,NOR_vs_LEC,LEC,2-stop equal,5554.44,False
Chinese Grand Prix,NOR_vs_LEC,LEC,2-stop early,5555.02,False
Japanese Grand Prix,NOR_vs_PIA,NOR,1-stop early,4972.14,True
Japanese Grand Prix,NOR_vs_PIA,NOR,1-stop mid,4974.05,False
Japanese Grand Prix,NOR_vs_PIA,NOR,1-stop late,4972.68,False
Japanese Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5006.69,False
Japanese Grand Prix,NOR_vs_PIA,NOR,2-stop early,5006.01,False
Japanese Grand Prix,NOR_vs_PIA,PIA,1-stop early,4980.26,True
Japanese Grand Prix,NOR_vs_PIA,PIA,1-stop mid,4981.64,False
Japanese Grand Prix,NOR_vs_PIA,PIA,1-stop late,4980.66,False
Japanese Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5011.3,False
Japanese Grand Prix,NOR_vs_PIA,PIA,2-stop early,5010.8,False
Japanese Grand Prix,NOR_vs_LEC,NOR,1-stop early,4972.14,True
Japanese Grand Prix,NOR_vs_LEC,NOR,1-stop mid,4974.05,False
Japanese Grand Prix,NOR_vs_LEC,NOR,1-stop late,4972.68,False
Japanese Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5006.69,False
Japanese Grand Prix,NOR_vs_LEC,NOR,2-stop early,5006.01,False
Japanese Grand Prix,NOR_vs_LEC,LEC,1-stop early,4987.15,True
Japanese Grand Prix,NOR_vs_LEC,LEC,1-stop mid,4988.33,False
Japanese Grand Prix,NOR_vs_LEC,LEC,1-stop late,4987.49,False
Japanese Grand Prix,NOR_vs_LEC,LEC,2-stop equal,5016.88,False
Japanese Grand Prix,NOR_vs_LEC,LEC,2-stop early,5016.46,False
Bahrain Grand Prix,NOR_vs_PIA,NOR,1-stop early,5638.2,True
Bahrain Grand Prix,NOR_vs_PIA,NOR,1-stop mid,5639.75,False
Bahrain Grand Prix,NOR_vs_PIA,NOR,1-stop late,5638.59,False
Bahrain Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5669.26,False
Bahrain Grand Prix,NOR_vs_PIA,NOR,2-stop early,5668.73,False
Bahrain Grand Prix,NOR_vs_PIA,PIA,1-stop early,5657.12,False
Bahrain Grand Prix,NOR_vs_PIA,PIA,1-stop mid,5652.98,True
Bahrain Grand Prix,NOR_vs_PIA,PIA,1-stop late,5656.08,False
Bahrain Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5654.94,False
Bahrain Grand Prix,NOR_vs_PIA,PIA,2-stop early,5656.34,False
Bahrain Grand Prix,NOR_vs_LEC,NOR,1-stop early,5638.2,True
Bahrain Grand Prix,NOR_vs_LEC,NOR,1-stop mid,5639.75,False
Bahrain Grand Prix,NOR_vs_LEC,NOR,1-stop late,5638.59,False
Bahrain Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5669.26,False
Bahrain Grand Prix,NOR_vs_LEC,NOR,2-stop early,5668.73,False
Bahrain Grand Prix,NOR_vs_LEC,LEC,1-stop early,5655.72,True
Bahrain Grand Prix,NOR_vs_LEC,LEC,1-stop mid,5656.43,False
Bahrain Grand Prix,NOR_vs_LEC,LEC,1-stop late,5655.9,False
Bahrain Grand Prix,NOR_vs_LEC,LEC,2-stop equal,5681.85,False
Bahrain Grand Prix,NOR_vs_LEC,LEC,2-stop early,5681.61,False
Saudi Arabian Grand Prix,NOR_vs_PIA,NOR,1-stop early,4745.85,True
Saudi Arabian Grand Prix,NOR_vs_PIA,NOR,1-stop mid,4748.97,False
Saudi Arabian Grand Prix,NOR_vs_PIA,NOR,1-stop late,4745.85,False
Saudi Arabian Grand Prix,NOR_vs_PIA,NOR,2-stop equal,4788.92,False
Saudi Arabian Grand Prix,NOR_vs_PIA,NOR,2-stop early,4787.62,False
Saudi Arabian Grand Prix,NOR_vs_PIA,PIA,1-stop early,4724.1,False
Saudi Arabian Grand Prix,NOR_vs_PIA,PIA,1-stop mid,4722.82,True
Saudi Arabian Grand Prix,NOR_vs_PIA,PIA,1-stop late,4724.1,False
Saudi Arabian Grand Prix,NOR_vs_PIA,PIA,2-stop equal,4737.49,False
Saudi Arabian Grand Prix,NOR_vs_PIA,PIA,2-stop early,4738.02,False
Saudi Arabian Grand Prix,NOR_vs_LEC,NOR,1-stop early,4745.85,True
Saudi Arabian Grand Prix,NOR_vs_LEC,NOR,1-stop mid,4748.97,False
Saudi Arabian Grand Prix,NOR_vs_LEC,NOR,1-stop late,4745.85,False
Saudi Arabian Grand Prix,NOR_vs_LEC,NOR,2-stop equal,4788.92,False
Saudi Arabian Grand Prix,NOR_vs_LEC,NOR,2-stop early,4787.62,False
Saudi Arabian Grand Prix,NOR_vs_LEC,LEC,1-stop early,4736.91,True
Saudi Arabian Grand Prix,NOR_vs_LEC,LEC,1-stop mid,4738.84,False
Saudi Arabian Grand Prix,NOR_vs_LEC,LEC,1-stop late,4736.91,False
Saudi Arabian Grand Prix,NOR_vs_LEC,LEC,2-stop equal,4771.93,False
Saudi Arabian Grand Prix,NOR_vs_LEC,LEC,2-stop early,4771.12,False
Miami Grand Prix,NOR_vs_PIA,NOR,1-stop early,5100.59,True
Miami Grand Prix,NOR_vs_PIA,NOR,1-stop mid,5110.54,False
Miami Grand Prix,NOR_vs_PIA,NOR,1-stop late,5103.08,False
Miami Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5180.67,False
Miami Grand Prix,NOR_vs_PIA,NOR,2-stop early,5177.29,False
Miami Grand Prix,NOR_vs_PIA,PIA,1-stop early,5071.42,True
Miami Grand Prix,NOR_vs_PIA,PIA,1-stop mid,5083.45,False
Miami Grand Prix,NOR_vs_PIA,PIA,1-stop late,5074.43,False
Miami Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5163.65,False
Miami Grand Prix,NOR_vs_PIA,PIA,2-stop early,5159.57,False
Miami Grand Prix,NOR_vs_LEC,NOR,1-stop early,5100.59,True
Miami Grand Prix,NOR_vs_LEC,NOR,1-stop mid,5110.54,False
Miami Grand Prix,NOR_vs_LEC,NOR,1-stop late,5103.08,False
Miami Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5180.67,False
Miami Grand Prix,NOR_vs_LEC,NOR,2-stop early,5177.29,False
Miami Grand Prix,NOR_vs_LEC,LEC,1-stop early,5290.68,True
Miami Grand Prix,NOR_vs_LEC,LEC,1-stop mid,5291.09,False
Miami Grand Prix,NOR_vs_LEC,LEC,1-stop late,5290.79,False
Miami Grand Prix,NOR_vs_LEC,LEC,2-stop equal,5315.09,False
Miami Grand Prix,NOR_vs_LEC,LEC,2-stop early,5314.95,False
Emilia Romagna Grand Prix,NOR_vs_PIA,NOR,1-stop early,5153.59,True
Emilia Romagna Grand Prix,NOR_vs_PIA,NOR,1-stop mid,5158.06,False
Emilia Romagna Grand Prix,NOR_vs_PIA,NOR,1-stop late,5154.58,False
Emilia Romagna Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5200.64,False
Emilia Romagna Grand Prix,NOR_vs_PIA,NOR,2-stop early,5198.89,False
Emilia Romagna Grand Prix,NOR_vs_PIA,PIA,1-stop early,5113.18,True
Emilia Romagna Grand Prix,NOR_vs_PIA,PIA,1-stop mid,5118.56,False
Emilia Romagna Grand Prix,NOR_vs_PIA,PIA,1-stop late,5114.38,False
Emilia Romagna Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5165.31,False
Emilia Romagna Grand Prix,NOR_vs_PIA,PIA,2-stop early,5163.22,False
Emilia Romagna Grand Prix,NOR_vs_LEC,NOR,1-stop early,5153.59,True
Emilia Romagna Grand Prix,NOR_vs_LEC,NOR,1-stop mid,5158.06,False
Emilia Romagna Grand Prix,NOR_vs_LEC,NOR,1-stop late,5154.58,False
Emilia Romagna Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5200.64,False
Emilia Romagna Grand Prix,NOR_vs_LEC,NOR,2-stop early,5198.89,False
Emilia Romagna Grand Prix,NOR_vs_LEC,LEC,1-stop early,4844.69,True
Emilia Romagna Grand Prix,NOR_vs_LEC,LEC,1-stop mid,4879.88,False
Emilia Romagna Grand Prix,NOR_vs_LEC,LEC,1-stop late,4852.51,False
Emilia Romagna Grand Prix,NOR_vs_LEC,LEC,2-stop equal,5063.65,False
Emilia Romagna Grand Prix,NOR_vs_LEC,LEC,2-stop early,5049.96,False
Monaco Grand Prix,NOR_vs_PIA,NOR,1-stop early,5732.3,True
Monaco Grand Prix,NOR_vs_PIA,NOR,1-stop mid,5776.67,False
Monaco Grand Prix,NOR_vs_PIA,NOR,1-stop late,5740.73,False
Monaco Grand Prix,NOR_vs_PIA,NOR,2-stop equal,6023.63,False
Monaco Grand Prix,NOR_vs_PIA,NOR,2-stop early,6007.21,False
Monaco Grand Prix,NOR_vs_PIA,PIA,1-stop early,5701.17,True
Monaco Grand Prix,NOR_vs_PIA,PIA,1-stop mid,5753.99,False
Monaco Grand Prix,NOR_vs_PIA,PIA,1-stop late,5711.21,False
Monaco Grand Prix,NOR_vs_PIA,PIA,2-stop equal,6043.76,False
Monaco Grand Prix,NOR_vs_PIA,PIA,2-stop early,6024.22,False
Monaco Grand Prix,NOR_vs_LEC,NOR,1-stop early,5732.3,True
Monaco Grand Prix,NOR_vs_LEC,NOR,1-stop mid,5776.67,False
Monaco Grand Prix,NOR_vs_LEC,NOR,1-stop late,5740.73,False
Monaco Grand Prix,NOR_vs_LEC,NOR,2-stop equal,6023.63,False
Monaco Grand Prix,NOR_vs_LEC,NOR,2-stop early,6007.21,False
Monaco Grand Prix,NOR_vs_LEC,LEC,1-stop early,5800.54,True
Monaco Grand Prix,NOR_vs_LEC,LEC,1-stop mid,5840.24,False
Monaco Grand Prix,NOR_vs_LEC,LEC,1-stop late,5808.08,False
Monaco Grand Prix,NOR_vs_LEC,LEC,2-stop equal,6063.52,False
Monaco Grand Prix,NOR_vs_LEC,LEC,2-stop early,6048.83,False
Spanish Grand Prix,NOR_vs_PIA,NOR,1-stop early,5354.7,True
Spanish Grand Prix,NOR_vs_PIA,NOR,1-stop mid,5357.14,False
Spanish Grand Prix,NOR_vs_PIA,NOR,1-stop late,5355.27,False
Spanish Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5392.99,False
Spanish Grand Prix,NOR_vs_PIA,NOR,2-stop early,5391.96,False
Spanish Grand Prix,NOR_vs_PIA,PIA,1-stop early,5362.36,False
Spanish Grand Prix,NOR_vs_PIA,PIA,1-stop mid,5361.73,True
Spanish Grand Prix,NOR_vs_PIA,PIA,1-stop late,5362.21,False
Spanish Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5380.14,False
Spanish Grand Prix,NOR_vs_PIA,PIA,2-stop early,5380.41,False
Spanish Grand Prix,NOR_vs_LEC,NOR,1-stop early,5354.7,True
Spanish Grand Prix,NOR_vs_LEC,NOR,1-stop mid,5357.14,False
Spanish Grand Prix,NOR_vs_LEC,NOR,1-stop late,5355.27,False
Spanish Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5392.99,False
Spanish Grand Prix,NOR_vs_LEC,NOR,2-stop early,5391.96,False
Spanish Grand Prix,NOR_vs_LEC,LEC,1-stop early,5362.24,True
Spanish Grand Prix,NOR_vs_LEC,LEC,1-stop mid,5367.66,False
Spanish Grand Prix,NOR_vs_LEC,LEC,1-stop late,5363.51,False
Spanish Grand Prix,NOR_vs_LEC,LEC,2-stop equal,5420.39,False
Spanish Grand Prix,NOR_vs_LEC,LEC,2-stop early,5418.1,False
Canadian Grand Prix,NOR_vs_PIA,NOR,1-stop early,5372.24,True
Canadian Grand Prix,NOR_vs_PIA,NOR,1-stop mid,5375.43,False
Canadian Grand Prix,NOR_vs_PIA,NOR,1-stop late,5372.91,False
Canadian Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5413.51,False
Canadian Grand Prix,NOR_vs_PIA,NOR,2-stop early,5412.33,False
Canadian Grand Prix,NOR_vs_PIA,PIA,1-stop early,5410.63,False
Canadian Grand Prix,NOR_vs_PIA,PIA,1-stop mid,5408.83,True
Canadian Grand Prix,NOR_vs_PIA,PIA,1-stop late,5410.25,False
Canadian Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5421.75,False
Canadian Grand Prix,NOR_vs_PIA,PIA,2-stop early,5422.41,False
Canadian Grand Prix,NOR_vs_LEC,NOR,1-stop early,5372.24,True
Canadian Grand Prix,NOR_vs_LEC,NOR,1-stop mid,5375.43,False
Canadian Grand Prix,NOR_vs_LEC,NOR,1-stop late,5372.91,False
Canadian Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5413.51,False
Canadian Grand Prix,NOR_vs_LEC,NOR,2-stop early,5412.33,False
Canadian Grand Prix,NOR_vs_LEC,LEC,1-stop early,5370.76,True
Canadian Grand Prix,NOR_vs_LEC,LEC,1-stop mid,5375.82,False
Canadian Grand Prix,NOR_vs_LEC,LEC,1-stop late,5371.82,False
Canadian Grand Prix,NOR_vs_LEC,LEC,2-stop equal,5423.29,False
Canadian Grand Prix,NOR_vs_LEC,LEC,2-stop early,5421.42,False
Austrian Grand Prix,NOR_vs_PIA,NOR,1-stop early,5003.84,False
Austrian Grand Prix,NOR_vs_PIA,NOR,1-stop mid,4994.84,False
Austrian Grand Prix,NOR_vs_PIA,NOR,1-stop late,5001.95,False
Austrian Grand Prix,NOR_vs_PIA,NOR,2-stop equal,4971.49,True
Austrian Grand Prix,NOR_vs_PIA,NOR,2-stop early,4974.83,False
Austrian Grand Prix,NOR_vs_PIA,PIA,1-stop early,4986.34,False
Austrian Grand Prix,NOR_vs_PIA,PIA,1-stop mid,4979.61,False
Austrian Grand Prix,NOR_vs_PIA,PIA,1-stop late,4984.93,False
Austrian Grand Prix,NOR_vs_PIA,PIA,2-stop equal,4967.7,True
Austrian Grand Prix,NOR_vs_PIA,PIA,2-stop early,4970.19,False
Austrian Grand Prix,NOR_vs_LEC,NOR,1-stop early,5003.84,False
Austrian Grand Prix,NOR_vs_LEC,NOR,1-stop mid,4994.84,False
Austrian Grand Prix,NOR_vs_LEC,NOR,1-stop late,5001.95,False
Austrian Grand Prix,NOR_vs_LEC,NOR,2-stop equal,4971.49,True
Austrian Grand Prix,NOR_vs_LEC,NOR,2-stop early,4974.83,False
Austrian Grand Prix,NOR_vs_LEC,LEC,1-stop early,4999.86,False
Austrian Grand Prix,NOR_vs_LEC,LEC,1-stop mid,4994.82,False
Austrian Grand Prix,NOR_vs_LEC,LEC,1-stop late,4998.81,False
Austrian Grand Prix,NOR_vs_LEC,LEC,2-stop equal,4991.43,True
