GP,Winner,NOR_grid,NOR_finish,NOR_positions_gained,NOR_points,NOR_status,NOR_incidents_mentioned,LEC_grid,LEC_finish,LEC_positions_gained,LEC_points,LEC_status,LEC_incidents_mentioned
Australian Grand Prix,NOR,1.0,1.0,0.0,25.0,Finished,0,7.0,8.0,-1.0,4.0,Finished,0
Chinese Grand Prix,PIA,3.0,2.0,1.0,18.0,Finished,0,6.0,18.0,-12.0,0.0,Disqualified,0
Japanese Grand Prix,VER,2.0,2.0,0.0,18.0,Finished,0,4.0,4.0,0.0,12.0,Finished,0
Bahrain Grand Prix,PIA,6.0,3.0,3.0,15.0,Finished,0,2.0,4.0,-2.0,12.0,Finished,0
Saudi Arabian Grand Prix,PIA,10.0,4.0,6.0,12.0,Finished,0,4.0,3.0,1.0,15.0,Finished,0
Miami Grand Prix,PIA,2.0,2.0,0.0,18.0,Finished,0,8.0,7.0,1.0,6.0,Finished,0
Emilia Romagna Grand Prix,VER,4.0,2.0,2.0,18.0,Finished,0,11.0,6.0,5.0,8.0,Finished,0
Monaco Grand Prix,NOR,1.0,1.0,0.0,25.0,Finished,0,2.0,2.0,0.0,18.0,Finished,0
Spanish Grand Prix,PIA,2.0,2.0,0.0,18.0,Finished,0,7.0,3.0,4.0,15.0,Finished,0
Canadian Grand Prix,RUS,7.0,18.0,-11.0,0.0,Retired,0,8.0,5.0,3.0,10.0,Finished,0
Austrian Grand Prix,NOR,1.0,1.0,0.0,25.0,Finished,0,2.0,3.0,-1.0,15.0,Finished,0
British Grand Prix,NOR,3.0,1.0,2.0,25.0,Finished,0,6.0,14.0,-8.0,0.0,Finished,0
Belgian Grand Prix,PIA,1.0,2.0,-1.0,18.0,Finished,0,3.0,3.0,0.0,15.0,Finished,0
Hungarian Grand Prix,NOR,3.0,1.0,2.0,25.0,Finished,0,1.0,4.0,-3.0,12.0,Finished,0
Dutch Grand Prix,PIA,2.0,18.0,-16.0,0.0,Retired,0,6.0,19.0,-13.0,0.0,Retired,0
Italian Grand Prix,VER,2.0,2.0,0.0,18.0,Finished,0,4.0,4.0,0.0,12.0,Finished,0
Azerbaijan Grand Prix,VER,7.0,7.0,0.0,6.0,Finished,0,10.0,9.0,1.0,2.0,Finished,0
Singapore Grand Prix,RUS,5.0,3.0,2.0,15.0,Finished,0,7.0,6.0,1.0,8.0,Finished,0
United States Grand Prix,VER,2.0,2.0,0.0,18.0,Finished,0,3.0,3.0,0.0,15.0,Finished,0
Mexico City Grand Prix,NOR,1.0,1.0,0.0,25.0,Finished,0,2.0,2.0,0.0,18.0,Finished,0
São Paulo Grand Prix,NOR,1.0,1.0,0.0,25.0,Finished,0,3.0,19.0,-16.0,0.0,Retired,0
Las Vegas Grand Prix,VER,1.0,19.0,-18.0,0.0,Disqualified,0,9.0,4.0,5.0,12.0,Finished,0
Qatar Grand Prix,VER,2.0,4.0,-2.0,12.0,Finished,0,10.0,8.0,2.0,4.0,Finished,0
Abu Dhabi Grand Prix,VER,2.0,3.0,-1.0,15.0,Finished,0,5.0,4.0,1.0,12.0,Finished,0
