driver,corner,brake_start_m,brake_end_m,brake_length_m,apex_speed_kmh,apex_position_m
NOR,3,774.3,894.7,120.4,112.0,894.7
NOR,4,978.0,1010.0,32.0,95.0,1010.0
NOR,6,1844.1,1957.6,113.5,173.0,1957.6
NOR,7,2057.3,2116.1,58.8,130.0,2116.1
NOR,7,2129.8,2144.1,14.3,117.0,2144.1
NOR,9,2973.5,3018.4,44.9,267.0,3003.6
NOR,10,3621.8,3644.9,23.1,297.0,3644.9
NOR,12,3771.9,3803.5,31.6,255.0,3803.5
NOR,13,3901.0,3951.3,50.3,206.0,3951.3
NOR,15,4862.9,4956.4,93.4,241.0,4956.4
NOR,16,5338.6,5438.6,100.0,110.0,5438.6
